Task ID,Task Description,Expected Acceptance Criterion,Current Status,Implementation File/Function,Test Executed,Test Result,Evidence Path,Remaining Work,Severity if Incomplete
IMG-10,Exact-match rules,Checks exact name then stem,COMPLETED BUT NOT VERIFIED,app.js:2148-2152,Source inspection,Priority logic exists,None,Runtime test,MINOR
IMG-11,Explicit admin image override,imageData checked first,COMPLETED BUT NOT VERIFIED,app.js:2200-2202,Source inspection,imageData priority,None,Runtime test,MINOR
IMG-12,Missing image handling,missingImageMarkup shown,COMPLETED BUT NOT VERIFIED,app.js:2136-2137,Source inspection,Placeholder exists,None,Runtime test,MINOR
IMG-13,Cache refresh,NOT implemented,NOT STARTED,app.js,Source inspection,No re-fetch after init,None,Add periodic re-fetch,MAJOR
IMG-14,New image after startup,NOT automatically detected,NOT STARTED,app.js:3969,Source inspection,Single fetch at init,None,Add re-fetch mechanism,MAJOR
IMG-15,Image replacement,No cache busting,NOT STARTED,app.js,Source inspection,No cache invalidation,None,Add cache busting,MAJOR
IMG-16,Large-image support,35MB body limit on server,COMPLETED BUT NOT VERIFIED,core/start-local-server.ps1:15,Source inspection,Limit confirmed,None,Runtime benchmark,MAJOR
IMG-17,Second-session behaviour,Same mechanism on reload,COMPLETED BUT NOT VERIFIED,app.js:3969,Source inspection,fetchImageCatalog in init,None,Runtime test,MINOR
IMG-18,Fully offline behaviour,Requires helper server,COMPLETED BUT NOT VERIFIED,app.js:66,Source inspection,Fetch to local API,None,Runtime test,MINOR
IMG-19,Image integrity report,NOT implemented,NOT STARTED,N/A,N/A,N/A,None,Design and implement,MINOR
UX-01,Accurate save messages,Shared sync status badge,COMPLETED BUT NOT VERIFIED,core/shared-sync.js:39-52,Source inspection,Badge exists,None,Runtime test,MAJOR
UX-02,Unsaved-change warning,NOT implemented,NOT STARTED,app.js,Source inspection,No beforeunload handler,G1-UX-02,Implement warning,MAJOR
UX-03,Connection indicator,Shared sync status badge,COMPLETED BUT NOT VERIFIED,core/shared-sync.js:39-52,Source inspection,Badge exists,None,Runtime test,MINOR
UX-04,Read-only indicator,Badge shows offline/readonly text,COMPLETED BUT NOT VERIFIED,core/shared-sync.js:236,Source inspection,Text exists,None,Runtime test,MINOR
UX-05,Admin role indicator,adminRoleName element,COMPLETED BUT NOT VERIFIED,app.js:2397-2398,Source inspection,Code exists,None,Runtime test,MINOR
UX-06,Conflict handling,Toast + sync status badge,COMPLETED BUT NOT VERIFIED,core/shared-sync.js:170-173,Source inspection,Code exists,None,Runtime test,MAJOR
UX-07,Search,Full search implementation,COMPLETED BUT NOT VERIFIED,app.js,Source inspection,Search exists,G1-UX-01,Fix special chars,MAJOR
UX-08,Hebrew support,RTL layout and Hebrew content,COMPLETED BUT NOT VERIFIED,index.html:2,Source inspection,dir=rtl lang=he,None,Runtime test,MAJOR
UX-09,English support,nameEn fields displayed,COMPLETED BUT NOT VERIFIED,app.js,Source inspection,Code exists,None,Runtime test,MINOR
UX-10,Mixed RTL/LTR,CSS support exists,COMPLETED BUT NOT VERIFIED,style.css,Source inspection,RTL styles exist,None,Runtime test,MINOR
UX-11,Keyboard navigation,Skip-to-content button,PARTIALLY COMPLETED,index.html:20,Source inspection,Button exists,G1-A11Y-01,Fix ARIA tab states,MAJOR
UX-12,Responsive layout,CSS media queries,COMPLETED BUT NOT VERIFIED,style.css,Source inspection,Responsive CSS exists,None,Runtime test,MINOR
UX-13,Error recovery,Recovery mode overlay,COMPLETED BUT NOT VERIFIED,core/shared-sync.js:206-217,Source inspection,Code exists,None,Runtime test,MAJOR
QA-01,Goal 1 completed,Audit completed with NO GO,COMPLETED AND VERIFIED,codex-qa/GOAL_STATUS.md,Documentation review,Confirmed,GOAL_STATUS.md,None,N/A
QA-02,Goal 2 completed,Code fixes applied not tested,PARTIALLY COMPLETED,Current branch,Code review,Fixes exist,This report,Runtime verification,CRITICAL
QA-03,Goal 3 completed,Independent final review,NOT STARTED,N/A,N/A,N/A,N/A,Complete Goal 2 first,CRITICAL
QA-04,Original test IDs preserved,Goal 1 IDs in matrix,COMPLETED AND VERIFIED,codex-qa/QA_TEST_EXECUTION_MATRIX.csv,File review,IDs present,codex-qa/,None,MINOR
QA-05,Regression cases added,None added in Goal 2,NOT STARTED,N/A,N/A,N/A,N/A,Add regressions for fixes,MAJOR
QA-06,Full matrix executed,0% execution in this review,NOT STARTED,N/A,N/A,N/A,N/A,Execute all cases,CRITICAL
QA-07,Evidence index complete,Goal 1 index exists,PARTIALLY COMPLETED,codex-qa/EVIDENCE_INDEX.md,File review,Goal 1 only,codex-qa/,Update for Goal 2,MAJOR
QA-08,Category scores justified,This review provides updated scores,PARTIALLY COMPLETED,This report,Code inspection,Updated scores,This report,Runtime evidence,MAJOR
QA-09,External environment gaps declared,Edge 95 and SMB gaps declared,COMPLETED AND VERIFIED,This report,This review,Gaps documented,This report,None,MINOR
QA-10,Release candidate frozen,No RC exists,NOT STARTED,N/A,N/A,N/A,N/A,Freeze after Goal 2 verification,CRITICAL
QA-11,Independent final review completed,Goal 3 not started,NOT STARTED,N/A,N/A,N/A,N/A,Complete after RC,CRITICAL
